text,score
"Sales support executive preparing MIS reports, managing order tracker, and supporting field sales team",66
Content moderator reviewing user-generated content for policy violations on digital platforms,63
Accounts assistant with basic bookkeeping and knowledge of GST return preparation,65
"Production operator running CNC machines, following work instructions, and maintaining quality",64
"Computer operator handling data processing, report generation, and basic system maintenance",62
"Lab assistant supporting scientists with sample preparation, equipment calibration, and record keeping",65
"Field technician installing and maintaining telecom towers, internet connections, and cable networks",67
"E-commerce executive managing product listings, pricing updates, and order fulfilment on marketplace",68
"Social media executive posting content, responding to comments, and tracking basic engagement metrics",65
"Junior accountant posting journal entries, preparing bank reconciliation, and assisting with GST returns",64
"Marketing coordinator executing ATL/BTL campaigns, preparing campaign reports, and vendor coordination",67
"Supply chain executive coordinating with warehouses, transporters, and vendors for order fulfillment",70
"Quality control analyst performing incoming inspections, maintaining quality records, and reporting NCRs",68
IT helpdesk technician resolving hardware and software issues for 200+ users across 3 offices,67
"Retail store manager handling daily sales operations, staff scheduling, and inventory replenishment",72
"Insurance claims processor verifying documents, calculating settlement amounts, and coordinating with surveyors",65
Driver with commercial license handling executive transport and airport pickups professionally,62
"Hotel front desk associate managing check-ins, check-outs, and guest request handling",63
"Dental assistant supporting dentist with patient preparation, instrument sterilization, and X-rays",64
"Junior civil engineer assisting in site supervision, quantity surveying, and drawing coordination",68
CAD operator preparing 2D drawings and basic 3D models from engineer sketches using AutoCAD,65
"Safety officer conducting toolbox talks, incident reporting, and PPE compliance checks at site",70
"Accounts payable assistant processing invoices, matching POs, and preparing payment vouchers",63
"Warehouse supervisor overseeing storage, picking, packing, and dispatch activities for daily orders",70
"Back-office executive handling document verification, data processing, and basic customer communication",61
Call centre agent managing inbound customer service calls for e-commerce and resolving order issues,62
"Junior HR executive supporting talent acquisition, screening resumes, and scheduling interviews",65
"Admin coordinator arranging office supplies, coordinating meetings, and handling travel bookings",63
"Medical representative visiting doctors, promoting pharmaceutical products, and achieving prescription targets",70
Food safety auditor conducting hygiene inspections and regulatory compliance checks at food facilities,71
"Real estate agent assisting clients with property search, site visits, and documentation for transactions",69
Tax assistant preparing individual income tax returns and basic GST returns for small businesses,64
"Construction site engineer monitoring daily work progress, quality checks, and subcontractor coordination",72
"Automobile sales consultant handling showroom inquiries, test drives, and closing vehicle deals",67
Content executive writing product descriptions and basic articles for company website,63
"Recruitment executive sourcing candidates through job portals, conducting initial screening calls",66
I know some computer skills and want to work in IT,50
Fresher looking for job in any field,45
I am hardworking and quick learner,42
Basic knowledge of excel and office tools,48
Looking for opportunity to grow my career,44
I have done graduation and looking for a suitable job,46
"Willing to work in any sector, have basic knowledge of computers",47
Have done some online courses and want to start a career,43
Know basic English communication and can handle office work,45
I am a fresher with good attitude and eagerness to learn,41
Have completed 12th grade and looking for entry level jobs,39
Good at Microsoft Word and basic internet browsing,44
Some experience in sales but nothing specific to mention,48
"I am punctual and sincere, looking for any job opportunity",40
Have done a short computer course and know typing,43
Seeking any work from home or office job to support family,38
Have experience working in a shop for 1 year as helper,42
I know a little bit about accounting and want to learn more,44
Looking for admin or data entry job with basic skill set,46
I can handle customers and do basic communication in English,45
Completed diploma and interested in technical field,49
"Ready to work in any domain, flexible with timing and location",39
Some knowledge of social media and want job in marketing,43
Done basic nursing course and want to work in hospital,47
Have basic driving skills and can work as delivery person,40
Know how to use computer and basic MS Office applications,44
Seeking data entry or back office job with decent typing speed,46
Completed ITI and looking for any technician or helper job,48
Some customer handling experience from a retail shop,42
"I am a hard worker and never give up, seeking job",38
Completed 10th and done a vocational training course,35
Want to work as security guard or any field job,37
Have done some cooking at home and want chef assistant job,40
Looking for housekeeping or office boy role in any company,36
"Have experience helping in family business, want outside job now",42
"Good listener and team player, seeking any corporate job",39
Completed short-term English course and basic computer training,41
Some knowledge of Tally from a coaching class,45
Want to work as receptionist with basic communication skills,44
Know basics of photography and want to work in media,43
Completed hotel management diploma but no work experience,50
Some exposure to warehouse picking and packing work,44
Seeking job as lab assistant with basic science knowledge,46
Done BCA but no practical project experience,51
Looking for BPO job with average English speaking skills,47
"Have done painting work as part-time, want a full-time role",40
Seeking plumber or electrician helper job,38
Have done basic computer course and want IT sector job,44
Some knowledge of digital marketing from YouTube videos,43
Completed BBM degree with no internship experience,50
Need job urgently,10
Call me for work,12
No experience but willing to learn,20
Nothing much to say,5
asdf random resume text,0
Please give me job,8
I want work,6
Hire me,4
Looking for job,9
"Need money, any job okay",7
I am available for work immediately,14
Will do any work,8
"Jobless, need employment",10
I exist,2
Just need a job ASAP,9
My name is Raju and I want job,12
xyzxyz no experience any job will do,3
"Have time, need job",7
Ready to work anywhere anytime,15
No degree no skills but I will try,11
"Desperate for employment, please consider me",13
Very hard working please hire,10
I have done nothing much but want to grow,8
Total fresher zero experience,16
Please sir give job,5
"My brother referred me, looking for position",12
Will work for low salary too,9
I can breathe and come on time,3
I want IT job I know nothing but will learn,14
No clue what I want to do but need income,7
Just completed school need job now,15
"Nothing to show, willing to try anything",10
Please review my application and give chance,12
Looking for any position vacant in your esteemed company,13
"Fresher, no skills, no degree, open to any work",8
Will be honest and punctual that is all,11
My aim is to get a job and earn money,9
Zero qualification but very dedicated,7
God bless you if you hire me,4
Excellent opportunity seeker available,10
Nothing special to add in resume,6
I want to be employed at your company,9
"Currently doing nothing, need a job soon",8
Please consider this as my formal application,11
N/A,1
See attached documents (no skills listed),5
I don't know what skills are required but I want this job,12
Very motivated person looking for any opening,13
Will learn everything on the job,10
"Unemployed since long time, please help",9
